time (min),PipProp,pClPhOAc,PipAc
0,0.000127705,0.146566147,0.005434782
1,1.68628E-05,0.145526585,0.000432351
2,0.000127258,0.151398781,0.001295545
3,9.98209E-05,0.147971151,0.001893108
4,0.000108065,0.151170797,0.002820554
5,6.90961E-05,0.148441053,0.003641733
6,0.000143764,0.151005822,0.004943231
7,0.000153526,0.143948349,0.007094507
8,0.019337812,0.144907852,0.013966615
9,0.044183112,0.126185716,0.03274397
10,0.03769891,0.105101166,0.054338184
11,0.031851734,0.093848989,0.06513784
12,0.012559943,0.089894749,0.054452679
13,0.01696526,0.07734348,0.081666729
14,0.012440924,0.072521306,0.086271376
15,0.009146256,0.068954248,0.089797249
16,0.006725704,0.066460851,0.092797251
17,0.004959281,0.0642482,0.094238797
18,0.001772112,0.061171303,0.096645402
19,0.0025781,0.061710619,0.096799015
20,0.002004874,0.061073212,0.097599531
21,0.0015038,0.060271689,0.098285407
22,0.001022806,0.059797666,0.098787433
23,0.000754258,0.059423946,0.099147116
24,0.000582129,0.058980763,0.099145775
25,0.000414597,0.058773403,0.099446912
26,0.000320081,0.058541506,0.099650857
27,0.000243125,0.058385005,0.099847055
28,0.000187303,0.058440534,0.100077488
29,9.53885E-05,0.058056717,0.100064019
30,0.0001237,0.057966499,0.099861354
31,9.35753E-05,0.057932633,0.100136083
32,6.70569E-05,0.057946643,0.100334528
33,8.05844E-05,0.057875067,0.100377422
34,5.92479E-05,0.057685355,0.100116134
35,6.47034E-05,0.0576732,0.100145075
36,7.70632E-05,0.057571754,0.100057571
37,6.95034E-05,0.057536888,0.100193118
38,3.2112E-05,0.056102121,0.099442916
39,4.68227E-05,0.057585992,0.10059731
